TYPE,N,THREADS,TIME (MICROSECONDES)
vectoriel 128,3200000,4,2713
vectoriel 128,3200000,8,1918
vectoriel 128,3200000,16,1525
vectoriel 128,3200000,32,1431
vectoriel 256,3200000,4,3176
vectoriel 256,3200000,8,1973
vectoriel 256,3200000,16,1919
vectoriel 256,3200000,32,2226
norm,32000000,1,172733
vectoriel 128,32000000,1,128474
vectoriel 256,32000000,1,163254
norm,32000000,4,54203
norm,32000000,8,37454
norm,32000000,16,31866
norm,32000000,32,34509
vectoriel 128,32000000,4,23512
vectoriel 128,32000000,8,16115
vectoriel 128,32000000,16,15764
vectoriel 128,32000000,32,14017
vectoriel 256,32000000,4,29156
vectoriel 256,32000000,8,25024
vectoriel 256,32000000,16,19426
vectoriel 256,32000000,32,15700
norm,320000000,1,1658521
vectoriel 128,320000000,1,567054
vectoriel 256,320000000,1,867113
norm,320000000,4,358525
norm,320000000,8,392322
norm,320000000,16,290658
norm,320000000,32,281656
vectoriel 128,320000000,4,245691
vectoriel 128,320000000,8,124007
vectoriel 128,320000000,16,107039
vectoriel 128,320000000,32,100182
vectoriel 256,320000000,4,233547
vectoriel 256,320000000,8,228448
vectoriel 256,320000000,16,254885
vectoriel 256,320000000,32,143915
JAVA-Traditional for-loop,32000,1,100.0
JAVA-Traditional for-loop,32000,1,101.0
JAVA-Traditional for-loop,32000,1,105.0
JAVA-Traditional for-loop,32000,1,120.0
JAVA-Traditional for-loop,32000,1,127.0
JAVA-Traditional for-loop,32000,1,335.0
JAVA-Traditional for-loop,32000,1,336.0
JAVA-Traditional for-loop,32000,1,3630.0
JAVA-Traditional for-loop,32000,1,99.0
JAVA-Traditional for-loop,32000,1,99.0
JAVA-Traditional for-loop,320000,1,1005.0
JAVA-Traditional for-loop,320000,1,1010.0
JAVA-Traditional for-loop,320000,1,1026.0
JAVA-Traditional for-loop,320000,1,1028.0
JAVA-Traditional for-loop,320000,1,3311.0
JAVA-Traditional for-loop,320000,1,3322.0
JAVA-Traditional for-loop,320000,1,8284.0
JAVA-Traditional for-loop,320000,1,934.0
JAVA-Traditional for-loop,320000,1,956.0
JAVA-Traditional for-loop,320000,1,957.0
JAVA-Traditional for-loop,3200000,1,143676.0
JAVA-Traditional for-loop,3200000,1,27795.0
JAVA-Traditional for-loop,3200000,1,28044.0
JAVA-Traditional for-loop,3200000,1,30526.0
JAVA-Traditional for-loop,3200000,1,44750.0
JAVA-Traditional for-loop,3200000,1,7853.0
JAVA-Traditional for-loop,3200000,1,7925.0
JAVA-Traditional for-loop,3200000,1,8345.0
JAVA-Traditional for-loop,3200000,1,8909.0
JAVA-Traditional for-loop,3200000,1,9368.0
JAVA-Traditional for-loop,32000000,1,107944.0
JAVA-Traditional for-loop,32000000,1,226563.0
JAVA-Traditional for-loop,32000000,1,254571.0
JAVA-Traditional for-loop,32000000,1,302276.0
JAVA-Traditional for-loop,32000000,1,302652.0
JAVA-Traditional for-loop,32000000,1,320289.0
JAVA-Traditional for-loop,32000000,1,320506.0
JAVA-Traditional for-loop,32000000,1,327665.0
JAVA-Traditional for-loop,32000000,1,333187.0
JAVA-Traditional for-loop,32000000,1,374623.0
JAVA-Traditional iterator-loop,32000,1,121.0
JAVA-Traditional iterator-loop,32000,1,125.0
JAVA-Traditional iterator-loop,32000,1,128.0
JAVA-Traditional iterator-loop,32000,1,130.0
JAVA-Traditional iterator-loop,32000,1,130.0
JAVA-Traditional iterator-loop,32000,1,132.0
JAVA-Traditional iterator-loop,32000,1,133.0
JAVA-Traditional iterator-loop,32000,1,3083.0
JAVA-Traditional iterator-loop,32000,1,348.0
JAVA-Traditional iterator-loop,32000,1,357.0
JAVA-Traditional iterator-loop,320000,1,1154.0
JAVA-Traditional iterator-loop,320000,1,1195.0
JAVA-Traditional iterator-loop,320000,1,1225.0
JAVA-Traditional iterator-loop,320000,1,1288.0
JAVA-Traditional iterator-loop,320000,1,1303.0
JAVA-Traditional iterator-loop,320000,1,1307.0
JAVA-Traditional iterator-loop,320000,1,1321.0
JAVA-Traditional iterator-loop,320000,1,16147.0
JAVA-Traditional iterator-loop,320000,1,3431.0
JAVA-Traditional iterator-loop,320000,1,3472.0
JAVA-Traditional iterator-loop,3200000,1,10625.0
JAVA-Traditional iterator-loop,3200000,1,10688.0
JAVA-Traditional iterator-loop,3200000,1,10784.0
JAVA-Traditional iterator-loop,3200000,1,11293.0
JAVA-Traditional iterator-loop,3200000,1,11347.0
JAVA-Traditional iterator-loop,3200000,1,11907.0
JAVA-Traditional iterator-loop,3200000,1,14223.0
JAVA-Traditional iterator-loop,3200000,1,32277.0
JAVA-Traditional iterator-loop,3200000,1,33393.0
JAVA-Traditional iterator-loop,3200000,1,74945.0
JAVA-Traditional iterator-loop,32000000,1,192500.0
JAVA-Traditional iterator-loop,32000000,1,194433.0
JAVA-Traditional iterator-loop,32000000,1,201165.0
JAVA-Traditional iterator-loop,32000000,1,202076.0
JAVA-Traditional iterator-loop,32000000,1,206309.0
JAVA-Traditional iterator-loop,32000000,1,214265.0
JAVA-Traditional iterator-loop,32000000,1,229699.0
JAVA-Traditional iterator-loop,32000000,1,248388.0
JAVA-Traditional iterator-loop,32000000,1,253015.0
JAVA-Traditional iterator-loop,32000000,1,313955.0
JAVA-for-each lambda,32000,1,10319.0
JAVA-for-each lambda,32000,1,267.0
JAVA-for-each lambda,32000,1,267.0
